"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000006747"	2314.4420569828	1.0272118450507	0.245611732403982	4.18225886441428	2.8862707109876e-05	0.00699054766201196
"ENSG00000021826"	3966.03832807024	-2.19479416562301	0.355811642757625	-6.16841581858544	6.89775556437836e-10	1.98388072225977e-06
"ENSG00000036828"	18.7276639803877	-1.4101028169273	0.341419984731623	-4.13011211993265	3.62586360537819e-05	0.00809975686370358
"ENSG00000039537"	221.04479737586	1.11390121156404	0.2704596288302	4.11854891756641	3.81265641582289e-05	0.00827598221430838
"ENSG00000063015"	10.5777008619365	-1.63686821595047	0.3001358720674	-5.45375734221763	4.93164892084072e-08	5.97222684313811e-05
"ENSG00000065325"	47.148697145344	-1.93076007138088	0.334742168261511	-5.76790214811691	8.02643840832487e-09	1.42061785643959e-05
"ENSG00000077274"	272.852513110332	-1.2899841721473	0.308812054858102	-4.17724681356771	2.95058807464154e-05	0.0069989774236523
"ENSG00000078898"	204.843652846659	3.45607619021709	0.505857068921132	6.83211998517297	8.36688214522017e-12	3.72733283186102e-08
"ENSG00000089169"	18.5223512923978	-1.30367682613717	0.250647829320825	-5.20122926924889	1.9797469908874e-07	0.000168711105604919
"ENSG00000089250"	286.081477848836	-1.45238616942814	0.331610149616566	-4.37980010897588	1.18788222973989e-05	0.00407940033195302
"ENSG00000099822"	33.5782745546293	-1.20218945512234	0.246058482541361	-4.88578748720951	1.03016267344553e-06	0.000707872676493465
"ENSG00000100867"	113.226737371824	-1.12582938255508	0.273306838011224	-4.11928728438492	3.80046079693246e-05	0.00827598221430838
"ENSG00000108018"	28.5157426311235	1.24557632142131	0.279047597716555	4.46366975245033	8.05677127270239e-06	0.00306451537109665
"ENSG00000109832"	25.010870168596	-1.92275786188825	0.347098458133052	-5.53951715092668	3.03306742288005e-08	3.87710268516928e-05
"ENSG00000111215"	186.043965095636	1.2837362064118	0.188491084664122	6.81059376733563	9.71967360214097e-12	3.72733283186102e-08
"ENSG00000111404"	106.142168923384	1.80575412364338	0.346592095564	5.21002684929938	1.88813305439007e-07	0.000168711105604919
"ENSG00000113600"	10.1232726513898	1.24788633491064	0.286643260235065	4.35344732643391	1.3401330606295e-05	0.00446885820174264
"ENSG00000114113"	28.6724694057849	-1.27705916577059	0.239351706732524	-5.3354922060268	9.5285722217208e-08	0.000104401389642654
"ENSG00000115353"	71.6546219744273	1.22879765815615	0.236241915260784	5.20143792772632	1.97752520283356e-07	0.000168711105604919
"ENSG00000115718"	74.6323136916224	1.21732521124924	0.274967893948241	4.42715399885336	9.54845635229449e-06	0.00343281925328037
"ENSG00000116147"	50.3768447219306	-1.41560134098239	0.33699102061686	-4.20070937911386	2.66079965301082e-05	0.00661760291207601
"ENSG00000120057"	54.4996135003295	-1.51067377481938	0.33883817379797	-4.45839309628706	8.25763627311018e-06	0.00306451537109665
"ENSG00000124939"	45.5210899301836	-1.36548114394856	0.332435136159118	-4.10751149750603	3.99944874956402e-05	0.00844250608061638
"ENSG00000126259"	38.6778462678851	-1.47893775502026	0.329133335990758	-4.49343045294504	7.00849168819309e-06	0.00304261104252141
"ENSG00000126549"	13.4427441750164	3.9060510896026	0.942059751042891	4.14628805155774	3.37908678564594e-05	0.007933613046013
"ENSG00000126562"	55.3329899243224	1.18761405945071	0.253172688436241	4.69092486549867	2.71972839315212e-06	0.00148995787138184
"ENSG00000130595"	54.4557356287738	1.20258662527183	0.278665093302271	4.31552660945365	1.59222869673384e-05	0.00486681610408536
"ENSG00000133863"	113.997751409245	-1.98961826790554	0.444826430704608	-4.47279687215072	7.72031078050451e-06	0.00306451537109665
"ENSG00000134443"	193.815754153715	-2.79654819188859	0.362166643689721	-7.72171662027626	1.14773340706334e-14	1.32040989815602e-10
"ENSG00000134551"	7.26524945315888	2.40371337184311	0.360190859209959	6.6734435657679	2.49869696175918e-11	8.21321691330244e-08
"ENSG00000134962"	277.092124259461	1.65734864256645	0.292453186744835	5.66705619115885	1.45271712928954e-08	2.22837122852154e-05
"ENSG00000136110"	125.516315591208	2.87810578142241	0.669264183558689	4.3004031175232	1.70487694282269e-05	0.00492967505849912
