"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000003"	3662.33538617959	-1.24438941577924	0.204989479050987	-6.07050382068497	1.27509582859446e-09	1.2098424709332e-08
"ENSG00000000460"	972.088223173604	-1.38055832261042	0.156996057384028	-8.79358593848913	1.44860709633357e-18	5.63416542798336e-17
"ENSG00000000938"	1911.67111755773	1.8990319404765	0.235164690528776	8.07532770419937	6.72956678415721e-16	1.83460429071888e-14
"ENSG00000001084"	9572.09912555453	-1.76429594729413	0.407555853970458	-4.3289672571407	1.49810202473618e-05	6.25132925048144e-05
"ENSG00000001561"	4266.04082600332	1.14649520902357	0.210260580724579	5.45273491147334	4.96009831478777e-08	3.44482046860706e-07
"ENSG00000001626"	1697.29126556747	1.83469772010275	0.493194689320758	3.72002732354955	0.000199201226093292	0.000635703330260827
"ENSG00000002079"	35.8905011945378	-3.8572587505105	0.507519111443406	-7.6002236438748	2.95619417300895e-14	6.1259473610879e-13
"ENSG00000002587"	749.929351482779	-1.42619603255686	0.338127526669435	-4.21792347581083	2.46562462210424e-05	9.76951212846504e-05
"ENSG00000002726"	525.822541791718	-2.04894682566994	0.602213791125769	-3.40235786005443	0.000668070965670939	0.00187963375508959
"ENSG00000002746"	139.102744437982	-2.90591350600255	0.376321380942169	-7.72189318270258	1.14614428169485e-14	2.54565048250377e-13
"ENSG00000003249"	563.713516414126	-1.89795672452064	0.312693843275949	-6.06969649493775	1.28152206760797e-09	1.21493783492344e-08
"ENSG00000003987"	367.803499200999	-1.55816371490933	0.520843482535495	-2.99161603659531	0.00277505052576286	0.00669650105372602
"ENSG00000004478"	6039.66156911322	-1.71586999910516	0.223834360940954	-7.66580247952992	1.77716508575957e-14	3.77918590187079e-13
"ENSG00000004776"	70.7017095497999	2.92532220564383	0.339228003588089	8.62346909660186	6.4955710752935e-18	2.33161614464006e-16
"ENSG00000004799"	3323.75376177946	2.54185737997148	0.378321450830705	6.71877678199362	1.83256382653824e-11	2.43168749047395e-10
"ENSG00000004838"	190.288532913284	1.78382379152688	0.417028264978725	4.27746496180033	1.89033700156063e-05	7.70910387609156e-05
"ENSG00000004846"	20.3084349593457	2.3546585348989	0.541449177187537	4.34880803980488	1.36879456029346e-05	5.75980139681644e-05
"ENSG00000004864"	2658.10100496863	-1.14630631391634	0.173567758839855	-6.6043735402149	3.99201805780443e-11	5.0110389248239e-10
"ENSG00000005001"	836.057887120383	-1.41030151425272	0.352814864082503	-3.99728485907253	6.40731793186284e-05	0.000231075201088138
"ENSG00000005073"	37.5735462711562	-5.45427012819638	0.815410923210742	-6.68898339835794	2.24726221722991e-11	2.93958251030375e-10
"ENSG00000005075"	466.515389368227	-1.13908630380918	0.226907706813194	-5.02004237673139	5.16600816502886e-07	2.94001191860373e-06
"ENSG00000005102"	116.764825173179	1.59056925124442	0.386136154740499	4.11919275550188	3.80202006277501e-05	0.00014423854843263
"ENSG00000005156"	2563.81730171814	-1.06790030461498	0.139559304875447	-7.65194628597533	1.97959932114741e-14	4.19030365963943e-13
"ENSG00000005189"	316.037447130481	-1.35814489227246	0.212620224549939	-6.38765618438839	1.68447532967571e-10	1.87508915628972e-09
"ENSG00000006047"	188.361070698767	-4.8095107687534	0.54317444491202	-8.8544496410033	8.40977231743958e-19	3.39021398720774e-17
"ENSG00000006074"	9534.09237697477	1.88643080452133	0.401154569359215	4.70250359489766	2.56990693548519e-06	1.26213423006572e-05
"ENSG00000006118"	1510.91036973453	-2.93086687068963	0.306439734086637	-9.56425210139692	1.13015626041151e-21	6.71931922372314e-20
"ENSG00000006327"	1693.78966489998	-1.02396479568886	0.274106026968171	-3.7356522474705	0.00018722926061778	0.000602420067758586
"ENSG00000006377"	109.92862406098	-9.03987982978122	0.913200957093168	-9.89911339838745	4.19981636106414e-23	2.88458431796194e-21
"ENSG00000006453"	3535.61765461716	-1.55660461287307	0.173866244472625	-8.9528856943715	3.46308398927993e-19	1.46205687173104e-17
"ENSG00000006468"	3891.87572216746	1.72993460006761	0.283558109989863	6.10081157660931	1.05531252733141e-09	1.01895450866002e-08
"ENSG00000006534"	1998.6157901152	1.15050849839108	0.291916965366847	3.9412183425011	8.10687893440097e-05	0.000284823908080061
"ENSG00000006606"	51.7551069212682	-2.53948534192034	0.505327251571667	-5.02542725337302	5.02312954458913e-07	2.86720882390105e-06
"ENSG00000006625"	3545.29637727995	-1.38433061022311	0.188251813311136	-7.35361102702969	1.92922615768007e-13	3.52018752276454e-12
"ENSG00000006634"	961.019704450001	-1.60158456331169	0.195516357626796	-8.19156301166789	2.57855359677195e-16	7.49115400355123e-15
"ENSG00000006638"	52.3830782256325	1.05506956407737	0.22907866120297	4.60570861789067	4.11063648024701e-06	1.93181443574353e-05
"ENSG00000006704"	1225.48222138632	-1.29492016231732	0.221711418417032	-5.84056595534298	5.20237837290597e-09	4.40240985591002e-08
"ENSG00000006740"	941.170195121554	2.30371134530802	0.275088881494028	8.37442550493642	5.54939119652863e-17	1.76361798399071e-15
"ENSG00000007062"	1384.58961890339	-2.93173924154142	0.671219226610907	-4.36778197839214	1.25514692846535e-05	5.33327343990015e-05
"ENSG00000007129"	184.830286389733	1.57123352859245	0.261148068337476	6.01663852463186	1.78076117235276e-09	1.64291683724347e-08
"ENSG00000007174"	223.30178309662	2.77568988519763	0.550974232277341	5.03778529483106	4.70949289038069e-07	2.70563600286565e-06
"ENSG00000007216"	44.6153245327684	3.33885975644962	0.979110857527823	3.41009368937035	0.000649405668325954	0.00183159782085215
"ENSG00000007264"	118.418744742352	1.22570440191967	0.334724242979102	3.661833367702	0.000250416727151604	0.000782114629432775
"ENSG00000007306"	219.670696116451	-4.74129677328606	0.74741590091788	-6.34358563614102	2.24478097038221e-10	2.45019759713113e-09
"ENSG00000007350"	28.2742956869105	2.20285018664645	0.58865955795668	3.74214629979483	0.000182455236521609	0.000588547951370488
"ENSG00000007376"	280.304477010053	-1.20185288023512	0.346002918790088	-3.47353393560318	0.000513652403552405	0.00148419291138231
"ENSG00000007402"	2304.88095541931	3.74610665928081	0.441058310189897	8.4934498970622	2.00591966686956e-17	6.70846011845954e-16
"ENSG00000007908"	1276.23762769272	3.88021049376063	0.503078654738148	7.71293008998816	1.22961451759173e-14	2.70738760146107e-13
"ENSG00000007952"	42.442945742092	-1.46550406865041	0.47898686984519	-3.05959131849286	0.00221639206968506	0.00547236453818904
"ENSG00000007968"	491.515910963875	-2.83267584352708	0.272009166920637	-10.4138984564206	2.14263572709497e-25	1.94861286342799e-23
"ENSG00000008056"	115.818922119164	-1.63928867054457	0.402321671751237	-4.07457212883668	4.60990241774294e-05	0.000171660858925145
"ENSG00000008197"	95.9826549533069	-5.81753776581488	1.30358320882512	-4.46272836780252	8.09226100845032e-06	3.57540298676491e-05
"ENSG00000008226"	391.981165059767	1.69485248195553	0.407972656416877	4.15432861810152	3.26244031666525e-05	0.000125822140875211
"ENSG00000008300"	626.839098011895	-2.99150014421974	0.359272160614659	-8.32655705663848	8.32274378097868e-17	2.57044310948374e-15
"ENSG00000008323"	470.051229126524	-1.89038938695064	0.343590194911245	-5.50187233206394	3.75779032271797e-08	2.6628579468869e-07
"ENSG00000008441"	2957.97775639589	1.14674418245118	0.251834282581995	4.55356661807079	5.27439585167947e-06	2.42741404051705e-05
"ENSG00000008735"	205.507803166968	-2.26031733780636	0.495582133564235	-4.56093386892323	5.09266193179906e-06	2.35200839800812e-05
"ENSG00000008853"	3315.98896099789	1.90484729128768	0.293888077400555	6.48153987101512	9.07911679059807e-11	1.05880080200137e-09
"ENSG00000009709"	407.835319313534	-3.8309182629017	1.28191178136137	-2.9884414189823	0.00280404248582736	0.0067622066404362
"ENSG00000009724"	121.134807976904	1.07119362093006	0.292499402476357	3.66220789465252	0.000250050801486613	0.000781101666850515
"ENSG00000010292"	6311.35094172031	-1.47283387036354	0.186292570785494	-7.90602579669925	2.65736133124235e-15	6.55340052203163e-14
"ENSG00000010319"	585.046229561856	3.11955641573928	0.259076689754885	12.0410540164409	2.16175787450216e-33	4.64858756396451e-31
"ENSG00000010438"	38.1790636974231	-5.35058017599301	0.703061776885803	-7.61039833468588	2.73252437655971e-14	5.69498671922665e-13
"ENSG00000010671"	1938.12937328021	1.49577651012406	0.207051461433864	7.22417750527129	5.04143720924045e-13	8.64369811828715e-12
"ENSG00000010932"	493.805493679764	-1.4131469435881	0.354519960288923	-3.98608569863437	6.71722587120186e-05	0.000241042810465508
